FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
88.0,36.0,-366.0,286.0,14.0,-93.0,212.0,-88.0,82.0,-145.0,8.0,162.0,2730.0,-2647.0,2775.0,-2751.0
159.0,14.0,-137.0,114.0,106.0,-41.0,132.0,-48.0,87.0,-42.0,-36.0,119.0,1527.0,-1425.0,1002.0,-976.0
136.0,-9.0,12.0,-9.0,111.0,-13.0,55.0,-24.0,24.0,15.0,-41.0,52.0,197.0,-155.0,-13.0,22.0
-10.0,-8.0,49.0,-46.0,-12.0,-7.0,13.0,-10.0,-55.0,34.0,-28.0,8.0,-426.0,388.0,-231.0,228.0
-115.0,10.0,20.0,-25.0,-105.0,-9.0,5.0,-2.0,-74.0,31.0,-20.0,2.0,-242.0,185.0,-73.0,69.0
-92.0,20.0,-3.0,-3.0,-76.0,-12.0,11.0,-1.0,-37.0,25.0,-20.0,11.0,116.0,-135.0,29.0,-30.0
-12.0,13.0,5.0,-4.0,9.0,-18.0,14.0,-3.0,2.0,21.0,-21.0,11.0,146.0,-130.0,-33.0,29.0
32.0,-1.0,21.0,-14.0,53.0,-26.0,15.0,-4.0,13.0,16.0,-16.0,0.0,-50.0,74.0,-114.0,103.0
23.0,-11.0,22.0,-12.0,38.0,-30.0,19.0,-3.0,5.0,8.0,-11.0,-5.0,-140.0,152.0,-91.0,77.0
-2.0,-14.0,11.0,1.0,2.0,-29.0,23.0,-1.0,-10.0,3.0,-11.0,4.0,-48.0,43.0,10.0,-18.0
-20.0,-11.0,1.0,9.0,-23.0,-22.0,22.0,1.0,-24.0,4.0,-14.0,17.0,56.0,-74.0,86.0,-84.0
-24.0,-5.0,-1.0,7.0,-25.0,-13.0,14.0,2.0,-23.0,7.0,-14.0,20.0,61.0,-76.0,71.0,-66.0
0.0,3.0,-9.0,6.0,-1.0,0.0,-1.0,3.0,10.0,1.0,-5.0,5.0,19.0,-8.0,-7.0,7.0
59.0,16.0,-59.0,36.0,37.0,30.0,-33.0,17.0,88.0,-37.0,18.0,-29.0,-3.0,55.0,-64.0,53.0
130.0,33.0,-170.0,112.0,56.0,85.0,-88.0,52.0,206.0,-122.0,60.0,-79.0,-23.0,119.0,-47.0,17.0
184.0,43.0,-309.0,219.0,35.0,154.0,-152.0,100.0,342.0,-248.0,122.0,-130.0,-67.0,217.0,5.0,-70.0
237.0,36.0,-439.0,328.0,4.0,218.0,-193.0,133.0,484.0,-392.0,194.0,-170.0,-103.0,340.0,-3.0,-117.0
316.0,9.0,-548.0,423.0,-2.0,259.0,-188.0,129.0,616.0,-523.0,258.0,-188.0,-112.0,457.0,-117.0,-65.0
398.0,-45.0,-618.0,491.0,3.0,262.0,-128.0,89.0,669.0,-604.0,287.0,-170.0,-155.0,568.0,-286.0,55.0
421.0,-121.0,-637.0,521.0,-35.0,225.0,-31.0,25.0,579.0,-601.0,262.0,-104.0,-282.0,670.0,-416.0,163.0
369.0,-191.0,-625.0,521.0,-130.0,176.0,61.0,-33.0,385.0,-520.0,185.0,-15.0,-430.0,717.0,-464.0,213.0
307.0,-215.0,-620.0,511.0,-210.0,156.0,90.0,-53.0,239.0,-415.0,102.0,44.0,-464.0,661.0,-450.0,223.0
311.0,-183.0,-625.0,500.0,-197.0,181.0,33.0,-15.0,245.0,-355.0,64.0,34.0,-366.0,553.0,-426.0,226.0
371.0,-128.0,-614.0,479.0,-109.0,229.0,-67.0,54.0,359.0,-367.0,87.0,-27.0,-275.0,515.0,-413.0,225.0
411.0,-79.0,-589.0,454.0,-30.0,269.0,-149.0,108.0,481.0,-435.0,156.0,-100.0,-281.0,581.0,-370.0,173.0
391.0,-46.0,-583.0,447.0,-14.0,278.0,-173.0,118.0,563.0,-524.0,239.0,-157.0,-318.0,651.0,-279.0,67.0
348.0,-47.0,-602.0,467.0,-46.0,254.0,-129.0,87.0,588.0,-593.0,292.0,-166.0,-298.0,646.0,-225.0,-2.0
339.0,-97.0,-618.0,495.0,-87.0,209.0,-33.0,30.0,533.0,-597.0,277.0,-110.0,-258.0,603.0,-305.0,64.0
363.0,-170.0,-615.0,507.0,-120.0,169.0,63.0,-27.0,405.0,-524.0,199.0,-19.0,-297.0,604.0,-475.0,228.0
376.0,-207.0,-608.0,500.0,-144.0,159.0,96.0,-50.0,278.0,-422.0,110.0,39.0,-405.0,644.0,-569.0,336.0
356.0,-180.0,-611.0,487.0,-155.0,185.0,39.0,-16.0,245.0,-361.0,67.0,28.0,-466.0,652.0,-498.0,291.0
332.0,-119.0,-610.0,474.0,-140.0,230.0,-63.0,51.0,319.0,-372.0,84.0,-30.0,-410.0,602.0,-350.0,160.0
340.0,-65.0,-599.0,464.0,-89.0,270.0,-140.0,99.0,454.0,-437.0,143.0,-96.0,-281.0,544.0,-260.0,62.0
377.0,-36.0,-598.0,463.0,-22.0,285.0,-159.0,101.0,582.0,-522.0,215.0,-146.0,-191.0,536.0,-256.0,40.0
399.0,-47.0,-610.0,476.0,2.0,266.0,-114.0,63.0,625.0,-583.0,264.0,-154.0,-213.0,593.0,-303.0,74.0
379.0,-102.0,-618.0,494.0,-52.0,219.0,-21.0,6.0,537.0,-583.0,255.0,-101.0,-320.0,664.0,-370.0,135.0
338.0,-174.0,-614.0,503.0,-147.0,173.0,71.0,-44.0,370.0,-509.0,188.0,-12.0,-410.0,678.0,-441.0,209.0
